Strategy report
Symbol: /ES:XCME
Work Time: 5/24/24, 8:50 AM - 10/3/24, 10:20 AM


Id;Strategy;Side;Quantity;Amount;Price;Date/Time;Trade P/L;P/L;Position;
86;_trend_(1,716,567,300,000,1.0003,0.5003,0.3336,0.1669,0.0833,1,0.5002,0.3334,0.1671,0.083,86.3636,9.1727,0.3802,-0.2978,-0.0004,-0);Buy to Open;1;50.0;$5,323.25;5/24/24, 12:20 PM;;$9,725.00;0.0;
87;_trend_(SellClose);Sell to Close;-1;-50.0;$5,325.75;5/24/24, 12:25 PM;$100.00;$9,800.00;-50.0;
88;_trend_(1,716,567,600,000,0.9999,0.5001,0.3335,0.1668,0.0833,0.9995,0.4999,0.3334,0.167,0.0831,79.5455,7.3141,3.9294,3.5492,0,-0.0001);Buy to Open;1;50.0;$5,323.75;5/24/24, 12:25 PM;;$9,825.00;0.0;
89;_trend_(SellClose);Sell to Close;-1;-50.0;$5,326.75;5/24/24, 12:30 PM;$162.50;$10,000.00;-50.0;
90;_trend_(1,716,567,900,000,0.9999,0.4999,0.3333,0.1668,0.0833,1,0.4995,0.3331,0.1669,0.0832,72.7273,4.976,0.9918,-2.9377,0.0001,0.0001);Buy to Open;1;50.0;$5,323.50;5/24/24, 12:30 PM;;$9,987.50;0.0;
91;_trend_(SellClose);Sell to Close;-1;-50.0;$5,325.25;5/24/24, 12:35 PM;$137.50;$10,212.50;-50.0;
92;_trend_(1,716,568,200,000,0.9998,0.4998,0.3332,0.1667,0.0833,1,0.4997,0.3329,0.1669,0.0831,65.1163,2.9376,2.8792,1.8874,-0.0002,0.0001);Buy to Open;1;50.0;$5,322.50;5/24/24, 12:35 PM;;$10,125.00;0.0;
93;_trend_(SellClose);Sell to Close;-1;-50.0;$5,323.75;5/24/24, 12:40 PM;$162.50;$10,237.50;-50.0;
94;_trend_(1,716,568,500,000,0.9995,0.4997,0.3331,0.1666,0.0834,0.9997,0.4998,0.3329,0.1665,0.0832,42.8571,-4.976,1.2016,-1.6775,0.0001,-0.0001);Buy to Open;1;50.0;$5,320.50;5/24/24, 12:40 PM;;$10,287.50;0.0;
95;_trend_(SellClose);Sell to Close;-1;-50.0;$5,322.50;5/24/24, 12:45 PM;$137.50;$10,362.50;-50.0;
96;_trend_(1,716,568,800,000,1.0001,0.4998,0.3332,0.1666,0.0833,1.0006,0.5,0.3331,0.1665,0.0831,50,-2.7578,2.7669,1.5652,-0,0);Buy to Open;1;50.0;$5,319.75;5/24/24, 12:45 PM;;$10,425.00;0.0;
97;_trend_(SellClose);Sell to Close;-1;-50.0;$5,322.00;5/24/24, 12:50 PM;$100.00;$10,300.00;-50.0;
98;_trend_(1,716,569,100,000,0.9999,0.5,0.3332,0.1665,0.0834,0.9998,0.5004,0.3333,0.1663,0.0832,45.2381,-4.6763,5.0023,2.2354,-0,0.0001);Buy to Open;1;50.0;$5,320.00;5/24/24, 12:50 PM;;$10,525.00;0.0;
99;_trend_(SellClose);Sell to Close;-1;-50.0;$5,324.50;5/24/24, 12:55 PM;$225.00;$10,812.50;-50.0;
100;_trend_(1,716,569,400,000,1.0007,0.5003,0.3336,0.1667,0.0834,1.0008,0.5004,0.3338,0.1665,0.0833,70.9677,4.5564,-2.0853,-7.0876,-0.0004,0);Buy to Open;1;50.0;$5,320.00;5/24/24, 12:55 PM;;$10,750.00;0.0;
101;_trend_(SellClose);Sell to Close;-1;-50.0;$5,324.50;5/24/24, 1:00 PM;$287.50;$11,075.00;-50.0;
102;_trend_(1,716,569,700,000,0.9989,0.4998,0.3332,0.1665,0.0833,0.9983,0.4998,0.3333,0.1664,0.0832,0,-11.5108,-6.579,-4.4937,0.0002,-0.0002);Buy to Open;1;50.0;$5,318.75;5/24/24, 1:00 PM;;$11,037.50;0.0;
103;_trend_(SellClose);Sell to Close;-1;-50.0;$5,321.50;5/24/24, 1:05 PM;$175.00;$11,237.50;-50.0;
104;_trend_(1,716,570,000,000,0.9999,0.4994,0.3331,0.1665,0.0833,1.0009,0.4991,0.3333,0.1665,0.0833,0,-12.7098,0.3957,6.9747,-0.0001,0.0001);Buy to Open;1;50.0;$5,318.00;5/24/24, 1:05 PM;;$11,212.50;0.0;
105;_trend_(SellClose);Sell to Close;-1;-50.0;$5,319.50;5/24/24, 1:10 PM;$125.00;$11,087.50;-50.0;
106;_trend_(1,716,570,300,000,0.9999,0.4999,0.3329,0.1666,0.0833,1,0.5001,0.3327,0.1666,0.0833,5.1282,-13.0096,2.2477,1.852,0.0004,-0.0003);Buy to Open;1;50.0;$5,317.00;5/24/24, 1:10 PM;;$11,337.50;0.0;
107;_trend_(SellClose);Sell to Close;-1;-50.0;$5,322.25;5/24/24, 1:15 PM;$250.00;$11,387.50;-50.0;
108;_trend_(1,716,570,600,000,1.0008,0.5004,0.3335,0.1667,0.0833,1.0009,0.501,0.3337,0.1668,0.0834,51.2821,0.4197,-4.8329,-7.0806,-0,0);Buy to Open;1;50.0;$5,317.25;5/24/24, 1:15 PM;;$11,587.50;0.0;
109;_trend_(SellClose);Sell to Close;-1;-50.0;$5,322.50;5/24/24, 1:20 PM;$137.50;$11,537.50;-50.0;
110;_trend_(1,716,570,900,000,0.9999,0.5004,0.3335,0.1667,0.0833,0.999,0.5005,0.3337,0.1668,0.0833,43.5897,-0.6595,3.6339,8.4669,0.0001,-0.0002);Buy to Open;1;50.0;$5,319.75;5/24/24, 1:20 PM;;$11,725.00;0.0;
111;_trend_(SellClose);Sell to Close;-1;-50.0;$5,323.50;5/24/24, 1:25 PM;$150.00;$11,762.50;-50.0;
