FT,ToD,DoW,MO,DIR,MOVE
1728417600000,960,2,0,dn,nm
1728417900000,965,2,0,up,nm
1728418200000,970,2,0,up,nm
1728418500000,975,2,0,dn,nm
1728418800000,980,2,0,dn,nm
1728419100000,985,2,0,up,nm
1728419400000,990,2,0,dn,nm
1728419700000,995,2,0,up,nm
1728420000000,1000,2,0,up,mv
1728420300000,1005,2,0,dn,mv
1728420600000,1010,2,0,dn,mv
1728420900000,1015,2,0,dn,nm
1728424800000,1080,3,0,dn,nm
1728425100000,1085,3,0,dn,nm
1728425400000,1090,3,0,up,nm
1728425700000,1095,3,0,dn,nm
1728426000000,1100,3,0,dn,nm
1728426300000,1105,3,0,dn,nm
1728426600000,1110,3,0,dn,nm
1728426900000,1115,3,0,up,nm
1728427200000,1120,3,0,dn,mv
1728427500000,1125,3,0,up,mv
1728427800000,1130,3,0,up,nm
1728428100000,1135,3,0,up,mv
1728428400000,1140,3,0,dn,nm
1728428700000,1145,3,0,dn,mv
1728429000000,1150,3,0,dn,nm
1728429300000,1155,3,0,up,nm
1728429600000,1160,3,0,dn,nm
1728429900000,1165,3,0,dn,nm
1728430200000,1170,3,0,up,nm
1728430500000,1175,3,0,up,nm
1728430800000,1180,3,0,dn,nm
1728431100000,1185,3,0,dn,nm
1728431400000,1190,3,0,up,nm
1728431700000,1195,3,0,dn,nm
1728432000000,1200,3,0,dn,nm
1728432300000,1205,3,0,dn,nm
1728432600000,1210,3,0,dn,nm
1728432900000,1215,3,0,up,nm
1728433200000,1220,3,0,dn,nm
1728433500000,1225,3,0,up,nm
1728433800000,1230,3,0,up,nm
1728434100000,1235,3,0,dn,nm
1728434400000,1240,3,0,up,nm
1728434700000,1245,3,0,dn,nm
1728435000000,1250,3,0,dn,nm
1728435300000,1255,3,0,up,nm
1728435600000,1260,3,0,up,nm
1728435900000,1265,3,0,dn,nm
1728436200000,1270,3,0,up,mv
1728436500000,1275,3,0,up,nm
1728436800000,1280,3,0,dn,mv
1728437100000,1285,3,0,up,nm
