FT,ToD,DoW,MO,Dc1,Dc3,Dr1,Dr3,Mc1,Mc3,Mr1,Mr3
1728322500000,815,1,1,dn,dn,-0.5,-0.5,nm,nm,0.3721,0.1696
1728322800000,820,1,1,dn,up,-1.5,1.75,mv,nm,1.1811,0.6037
1728323100000,825,1,1,up,dn,1.5,-5.25,mv,mv,1.4746,1.819
1728323400000,830,1,1,up,dn,1.75,-6.5,mv,mv,1.5077,2.5086
1728323700000,835,1,1,dn,dn,-8.5,-6,mv,mv,7.3232,2.3017
1728324000000,840,1,1,up,up,0.25,0.5,nm,nm,0.0728,0.1833
1728324300000,845,1,1,up,dn,2.25,-0.25,mv,nm,0.6497,0.0871
1728324600000,850,1,1,dn,dn,-2,-3.25,mv,mv,0.5412,1.1027
1728324900000,855,1,1,dn,dn,-0.5,-10.75,nm,mv,0.1345,3.6071
1728325200000,860,1,1,dn,dn,-0.75,-11.25,nm,mv,0.2092,3.7598
1728325500000,865,1,1,dn,dn,-9.5,-13.75,mv,mv,2.8234,4.6954
1728325800000,870,1,1,dn,dn,-1,-15.5,nm,mv,0.2694,4.5061
1728326100000,875,1,1,dn,dn,-3.25,-13.75,mv,mv,0.8952,3.6464
1728326400000,880,1,1,dn,dn,-11.25,-13.5,mv,mv,3.6042,3.1693
1728326700000,885,1,1,up,up,0.75,1.25,nm,nm,0.1718,0.259
1728327000000,890,1,1,dn,up,-3,7.75,mv,mv,0.6564,1.5009
1728327300000,895,1,1,up,up,3.5,8.25,mv,mv,0.8023,1.5116
1728327600000,900,1,1,up,up,7.25,7,mv,mv,1.5815,1.2251
1728327900000,905,1,1,dn,up,-2.5,2,mv,nm,0.4272,0.3087
1728328200000,910,1,1,up,up,2.25,2.5,mv,nm,0.3872,0.3507
1728328500000,915,1,1,up,dn,2.25,-4.5,mv,mv,0.6392,0.5922
1728328800000,920,1,1,dn,dn,-2,-6.5,mv,mv,0.5682,0.8458
1728329100000,925,1,1,dn,dn,-4.75,-6.25,mv,mv,1.433,0.8098
1728329400000,930,1,1,up,dn,0.25,-0.25,nm,nm,0.063,0.0324
1728329700000,935,1,1,dn,up,-1.75,8.25,nm,mv,0.681,1.0696
1728330000000,940,1,1,up,up,1.25,6,nm,mv,0.5002,0.7775
1728330300000,945,1,0,up,up,8.75,5.75,mv,mv,3.7566,0.7472
1728330600000,950,1,0,dn,dn,-4,-3,mv,nm,0.9459,0.3679
1728330900000,955,1,0,up,up,1,1.5,nm,nm,0.2238,0.1778
1728331200000,960,1,0,dn,up,0,1,nm,nm,0,0.1185
1728331500000,965,1,0,up,up,0.5,1,nm,nm,0.1266,0.1228
1728331800000,970,1,0,up,up,0.5,0.5,nm,nm,0.1321,0.0657
1728332100000,975,1,0,dn,up,0,1,nm,nm,0,0.149
1728332400000,980,1,0,dn,up,0,3,nm,nm,0,0.5176
