Strategy report
Symbol: /ES:XCME
Work Time: 5/24/24, 8:50 AM - 10/3/24, 11:05 AM


Id;Strategy;Side;Quantity;Amount;Price;Date/Time;Trade P/L;P/L;Position;
84;_participation_(1,716,567,000,000,7,099,7,555.5,8,464.3333,9,207.6667,12,173.9167,0.9396,0.8387,0.771,0.5831,0.0563,-0.0817,N/A,0.0002,0.0001,0.0001,0,-0);Buy to Open;1;50.0;$5,322.00;5/24/24, 12:15 PM;;$9,562.50;0.0;
85;_participation_;Sell to Close;-1;-50.0;$5,326.50;5/24/24, 12:20 PM;$162.50;$9,637.50;-50.0;
86;_participation_(1,716,567,300,000,6,883,6,991,7,331.3333,8,684.5,11,376.5,0.9846,0.9388,0.7926,0.605,-0.0407,-0.0367,N/A,0.0003,0.0003,0.0002,0.0001,-0);Buy to Open;1;50.0;$5,323.25;5/24/24, 12:20 PM;;$9,725.00;0.0;
87;_participation_;Sell to Close;-1;-50.0;$5,325.75;5/24/24, 12:25 PM;$100.00;$9,800.00;-50.0;
88;_participation_(1,716,567,600,000,5,892,6,387.5,6,624.6667,7,719.5,10,947.9167,0.9224,0.8894,0.7633,0.5382,-0.0611,0.0191,N/A,-0.0001,0.0001,0.0001,0.0001,-0);Buy to Open;1;50.0;$5,323.75;5/24/24, 12:25 PM;;$9,825.00;0.0;
89;_participation_;Sell to Close;-1;-50.0;$5,326.75;5/24/24, 12:30 PM;$162.50;$10,000.00;-50.0;
90;_participation_(1,716,567,900,000,7,681,6,786.5,6,818.6667,7,641.5,10,453,1.1318,1.1265,1.0052,0.7348,-0.0195,-0.0876,N/A,-0.0001,-0.0001,0,0.0001,0);Buy to Open;1;50.0;$5,323.50;5/24/24, 12:30 PM;;$9,987.50;0.0;
91;_participation_;Sell to Close;-1;-50.0;$5,325.25;5/24/24, 12:35 PM;$137.50;$10,212.50;-50.0;
92;_participation_(1,716,568,200,000,8,429,8,055,7,334,7,332.6667,10,332.1667,1.0464,1.1493,1.1495,0.8158,0.2032,0.3156,N/A,-0.0001,-0.0001,-0.0001,0,-0);Buy to Open;1;50.0;$5,322.50;5/24/24, 12:35 PM;;$10,125.00;0.0;
93;_participation_;Sell to Close;-1;-50.0;$5,323.75;5/24/24, 12:40 PM;$162.50;$10,237.50;-50.0;
94;_participation_(1,716,568,500,000,9,691,9,060,8,600.3333,7,612.5,8,812.6667,1.0696,1.1268,1.273,1.0997,0.0385,-0.1756,N/A,-0.0003,-0.0002,-0.0002,-0,0);Buy to Open;1;50.0;$5,320.50;5/24/24, 12:40 PM;;$10,287.50;0.0;
95;_participation_;Sell to Close;-1;-50.0;$5,322.50;5/24/24, 12:45 PM;$137.50;$10,362.50;-50.0;
96;_participation_(1,716,568,800,000,5,424,7,557.5,7,848,7,333.3333,8,270.5,0.7177,0.6911,0.7396,0.6558,-0.1105,0.0404,N/A,0.0001,-0.0001,-0.0001,-0.0001,-0);Buy to Open;1;50.0;$5,319.75;5/24/24, 12:45 PM;;$10,425.00;0.0;
97;_participation_;Sell to Close;-1;-50.0;$5,322.00;5/24/24, 12:50 PM;$100.00;$10,300.00;-50.0;
98;_participation_(1,716,569,100,000,4,801,5,112.5,6,638.6667,6,986.3333,7,835.4167,0.9391,0.7232,0.6872,0.6127,-0.0544,0.088,N/A,-0.0001,0,-0.0001,-0.0001,0);Buy to Open;1;50.0;$5,320.00;5/24/24, 12:50 PM;;$10,525.00;0.0;
99;_participation_;Sell to Close;-1;-50.0;$5,324.50;5/24/24, 12:55 PM;$225.00;$10,812.50;-50.0;
100;_participation_(1,716,569,400,000,6,691,5,746,5,638.6667,7,119.5,7,419.5,1.1645,1.1866,0.9398,0.9018,-0.0945,-0.0119,N/A,0.0005,0.0003,0.0002,-0,0);Buy to Open;1;50.0;$5,320.00;5/24/24, 12:55 PM;;$10,750.00;0.0;
101;_participation_;Sell to Close;-1;-50.0;$5,324.50;5/24/24, 1:00 PM;$287.50;$11,075.00;-50.0;
102;_participation_(1,716,569,700,000,11,075,8,883,7,522.3333,7,685.1667,7,663.3333,1.2468,1.4723,1.4411,1.4452,-0.0525,-0.2278,N/A,-0.0005,-0.0001,-0.0001,-0.0001,-0);Buy to Open;1;50.0;$5,318.75;5/24/24, 1:00 PM;;$11,037.50;0.0;
103;_participation_;Sell to Close;-1;-50.0;$5,321.50;5/24/24, 1:05 PM;$175.00;$11,237.50;-50.0;
104;_participation_(1,716,570,000,000,7,212,9,143.5,8,326,7,482.3333,7,407.5,0.7888,0.8662,0.9639,0.9736,0.0278,-0.2165,N/A,-0.0001,-0.0004,-0.0001,-0.0001,-0);Buy to Open;1;50.0;$5,318.00;5/24/24, 1:05 PM;;$11,212.50;0.0;
105;_participation_;Sell to Close;-1;-50.0;$5,319.50;5/24/24, 1:10 PM;$125.00;$11,087.50;-50.0;
106;_participation_(1,716,570,300,000,9,056,8,134,9,114.3333,7,376.5,7,494.5,1.1134,0.9936,1.2277,1.2084,0.0943,0.1716,N/A,-0.0001,-0.0001,-0.0003,-0.0001,-0.0001);Buy to Open;1;50.0;$5,317.00;5/24/24, 1:10 PM;;$11,337.50;0.0;
107;_participation_;Sell to Close;-1;-50.0;$5,322.25;5/24/24, 1:15 PM;$250.00;$11,387.50;-50.0;
108;_participation_(1,716,570,600,000,7,830,8,443,8,032.6667,7,777.5,7,555.4167,0.9274,0.9748,1.0068,1.0363,-0.0085,-0.048,N/A,0.0006,0.0002,0.0001,0,-0);Buy to Open;1;50.0;$5,317.25;5/24/24, 1:15 PM;;$11,587.50;0.0;
109;_participation_;Sell to Close;-1;-50.0;$5,322.50;5/24/24, 1:20 PM;$137.50;$11,537.50;-50.0;
110;_participation_(1,716,570,900,000,6,151,6,990.5,7,679,8,002.5,7,494.4167,0.8799,0.801,0.7686,0.8207,0.0422,0.0744,N/A,-0.0001,0.0003,0.0001,0,-0.0001);Buy to Open;1;50.0;$5,319.75;5/24/24, 1:20 PM;;$11,725.00;0.0;
111;_participation_;Sell to Close;-1;-50.0;$5,323.50;5/24/24, 1:25 PM;$150.00;$11,762.50;-50.0;
112;_participation_(1,716,571,200,000,5,202,5,676.5,6,394.3333,7,754.3333,7,436.9167,0.9164,0.8135,0.6709,0.6995,0.0781,0.0761,N/A,0.0004,0.0001,0.0003,-0,-0);Buy to Open;1;50.0;$5,320.50;5/24/24, 1:25 PM;;$11,875.00;0.0;
113;_participation_;Sell to Close;-1;-50.0;$5,325.50;5/24/24, 1:30 PM;$150.00;$12,150.00;-50.0;
114;_participation_(1,716,571,500,000,8,892,7,047,6,748.3333,7,390.5,7,537.8333,1.2618,1.3177,1.2032,1.1796,0.0302,0.0461,N/A,-0.0001,0.0001,0,0.0001,-0);Buy to Open;1;50.0;$5,322.50;5/24/24, 1:30 PM;;$12,025.00;0.0;
115;_participation_;Sell to Close;-1;-50.0;$5,323.00;5/24/24, 1:35 PM;$212.50;$12,075.00;-50.0;
116;_participation_(1,716,571,800,000,8,365,8,628.5,7,486.3333,7,582.6667,7,532.5,0.9695,1.1174,1.1032,1.1105,0.09,-0.0403,N/A,-0.0003,-0.0002,-0.0001,0,-0);Buy to Open;1;50.0;$5,318.75;5/24/24, 1:35 PM;;$12,237.50;0.0;
117;_participation_;Sell to Close;-1;-50.0;$5,322.00;5/24/24, 1:40 PM;$87.50;$12,312.50;-50.0;
118;_participation_(1,716,572,100,000,5,081,6,723,7,446,6,920.1667,7,148.3333,0.7558,0.6824,0.7342,0.7108,-0.0553,0.0698,N/A,0.0004,-0.0001,-0.0001,0.0001,0);Buy to Open;1;50.0;$5,320.25;5/24/24, 1:40 PM;;$12,325.00;0.0;
119;_participation_;Sell to Close;-1;-50.0;$5,322.00;5/24/24, 1:45 PM;$162.50;$12,375.00;-50.0;
