Strategy report
Symbol: /ES:XCME
Work Time: 10/7/24, 6:05 PM - 10/15/24, 12:10 PM


Id;Strategy;Side;Quantity;Amount;Price;Date/Time;Trade P/L;P/L;Position;
136;_calendar_(1,728,358,500,000|1,415|2|0|up|dn|0.5|-2|nm|mv|0.5178|0.9464);Buy to Open;1;50.0;$5,744.50;10/7/24, 11:40 PM;;$12,312.50;0.0;
137;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,746.25;10/7/24, 11:45 PM;$87.50;$12,400.00;-50.0;
138;_calendar_(1,728,358,800,000|1,420|2|0|dn|dn|-1.75|-2.5|mv|mv|1.7247|1.2944);Buy to Open;1;50.0;$5,744.50;10/7/24, 11:45 PM;;$12,400.00;0.0;
139;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,747.75;10/7/24, 11:50 PM;$162.50;$12,600.00;-50.0;
140;_calendar_(1,728,359,100,000|1,425|2|0|dn|up|-0.75|0.25|nm|nm|0.7955|0.129);Buy to Open;1;50.0;$5,744.50;10/7/24, 11:50 PM;;$12,562.50;0.0;
141;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,744.75;10/7/24, 11:55 PM;$87.50;$12,612.50;-50.0;
142;_calendar_(1,728,359,400,000|1,430|2|0|dn|up|0|1|nm|nm|0|0.4998);Buy to Open;1;50.0;$5,743.00;10/7/24, 11:55 PM;;$12,650.00;0.0;
143;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,744.25;10/8/24, 12:00 AM;$187.50;$12,625.00;-50.0;
144;_calendar_(1,728,359,700,000|1,435|2|0|up|up|1|0.75|nm|nm|1.206|0.3616);Buy to Open;1;50.0;$5,740.50;10/8/24, 12:00 AM;;$12,837.50;0.0;
145;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,745.25;10/8/24, 12:05 AM;$100.00;$12,862.50;-50.0;
146;_calendar_(1,728,360,000,000|0|2|0|dn|up|0|0.5|nm|nm|0|0.2604);Buy to Open;1;50.0;$5,743.25;10/8/24, 12:05 AM;;$12,937.50;0.0;
147;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,745.50;10/8/24, 12:10 AM;$50.00;$12,987.50;-50.0;
148;_calendar_(1,728,360,300,000|5|2|0|dn|dn|-0.25|0|nm|nm|0.2822|0);Buy to Open;1;50.0;$5,744.50;10/8/24, 12:10 AM;;$12,987.50;0.0;
149;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,745.00;10/8/24, 12:15 AM;$50.00;$12,975.00;-50.0;
150;_calendar_(1,728,360,600,000|10|2|0|up|up|0.75|0.5|nm|nm|0.8989|0.2809);Buy to Open;1;50.0;$5,744.00;10/8/24, 12:15 AM;;$13,037.50;0.0;
