FT,ToD,DoW,MO,Dc1,Dc3,Dr1,Dr3,Mc1,Mc3,Mr1,Mr3
1729554900000,1195,2,0,dn,dn,-3.25,-4.5,mv,mv,8.0882,5.3001
1729555200000,1200,2,0,dn,dn,-1.5,-2,mv,nm,1.2101,2.0212
1729555500000,1205,2,0,up,up,0.25,2.75,nm,mv,0.1949,2.012
1729555800000,1210,2,0,dn,up,-0.75,2,nm,nm,0.5846,1.2733
1729556100000,1215,2,0,up,up,3.25,2,mv,mv,2.5716,1.2675
1729556400000,1220,2,0,dn,dn,-0.5,-3,nm,mv,0.2542,1.6637
1729556700000,1225,2,0,dn,dn,-0.75,-3.5,nm,mv,0.3813,1.8239
1729557000000,1230,2,0,dn,dn,-1.75,-3,mv,mv,1.1355,1.4997
1729557300000,1235,2,0,dn,dn,-1,-1.5,mv,nm,0.6314,0.7238
1729557600000,1240,2,0,dn,dn,-0.25,-1.75,nm,nm,0.1549,0.8095
1729557900000,1245,2,0,dn,dn,-0.25,-2,nm,mv,0.1564,0.9045
1729558200000,1250,2,0,dn,dn,-1.25,0,mv,nm,2.4019,0
1729558500000,1255,2,0,dn,dn,-0.5,-0.75,nm,nm,0.9342,0.3456
1729558800000,1260,2,0,up,dn,1.75,0,mv,nm,3.1659,0
1729559100000,1265,2,0,dn,dn,-2,-4,mv,mv,2.0656,1.8509
1729559400000,1270,2,0,up,dn,0.25,-1.5,nm,mv,0.2171,0.6941
1729559700000,1275,2,0,dn,dn,-2.25,-0.25,mv,nm,1.9092,0.1148
1729560000000,1280,2,0,up,up,0.5,0.5,nm,nm,0.3638,0.2253
1729560300000,1285,2,0,up,up,1.5,0.75,mv,nm,1.0676,0.3426
1729560600000,1290,2,0,dn,dn,-1.5,-1,mv,mv,0.9591,0.4583
1729560900000,1295,2,0,up,up,0.75,2,mv,mv,0.5341,0.9788
1729561200000,1300,2,0,dn,up,-0.25,0.75,nm,nm,0.1904,0.392
1729561500000,1305,2,0,up,up,1.5,2.5,mv,mv,1.1517,1.3204
1729561800000,1310,2,0,dn,up,-0.5,1.5,nm,mv,0.4773,0.8233
1729562100000,1315,2,0,up,up,1.5,2,mv,mv,1.3646,1.1532
1729562400000,1320,2,0,up,up,0.5,0.75,nm,nm,0.4549,0.4204
1729562700000,1325,2,0,dn,dn,0,-0.25,nm,nm,0,0.1401
1729563000000,1330,2,0,up,dn,0.25,-0.75,nm,nm,0.3141,0.4321
1729563300000,1335,2,0,dn,dn,-0.5,-2,nm,mv,0.674,1.2324
1729563600000,1340,2,0,dn,dn,-0.5,-1,nm,nm,0.7317,0.6296
1729563900000,1345,2,0,dn,dn,-1,-1.25,mv,mv,1.4633,0.8094
1729564200000,1350,2,0,up,dn,0.5,-0.75,nm,nm,0.9831,0.4856
1729564500000,1355,2,0,dn,dn,-0.75,-2.25,mv,mv,1.4746,1.4406
1729564800000,1360,2,0,dn,dn,-0.5,-2.25,nm,mv,0.937,1.4254
1729565100000,1365,2,0,dn,dn,-1,-1,mv,nm,2.1466,0.6305
1729565400000,1370,2,0,dn,up,-0.75,1.5,mv,mv,1.4746,1.0825
1729565700000,1375,2,0,up,up,0.75,2,mv,mv,1.46,1.389
1729566000000,1380,2,0,up,up,1.5,1.5,mv,mv,2.2456,1.0304
1729566300000,1385,2,0,dn,dn,-0.25,0,nm,nm,0.2713,0
1729566600000,1390,2,0,up,up,0.25,1,nm,nm,0.2832,0.6415
1729566900000,1395,2,0,dn,up,0,1,nm,nm,0,0.636
1729567200000,1400,2,0,up,dn,0.75,-0.25,mv,nm,1.0392,0.1658
1729567500000,1405,2,0,up,dn,0.25,-1.75,nm,mv,0.433,1.1546
1729567800000,1410,2,0,dn,dn,-1.25,-2.5,mv,mv,2.188,1.7633
1729568100000,1415,2,0,dn,dn,-0.75,-1.75,mv,mv,1.2108,1.2775
1729568400000,1420,2,0,dn,dn,-0.5,-0.75,nm,nm,0.7428,0.5694
1729568700000,1425,2,0,dn,dn,-0.5,-1,nm,nm,0.7559,0.7249
1729569000000,1430,2,0,up,dn,0.25,-0.75,nm,nm,0.381,0.5331
1729569300000,1435,2,0,dn,dn,-0.75,-0.25,mv,nm,1.4056,0.1777
1729569600000,0,2,0,dn,up,-0.25,1.5,nm,mv,0.5571,1.0957
1729569900000,5,2,0,up,up,0.75,1.75,mv,mv,2.1828,1.2817
1729570200000,10,2,0,up,up,1,1,mv,mv,1.9467,0.7382
1729570500000,15,2,0,dn,dn,0,0,nm,nm,0,0
1729570800000,20,2,0,dn,dn,0,-0.5,nm,nm,0,0.3522
1729571100000,25,2,0,dn,dn,0,-0.75,nm,nm,0,0.5594
