Strategy report
Symbol: /ES:XCME
Work Time: 9/16/24, 3:05 PM - 9/20/24, 8:30 AM


Id;Strategy;Side;Quantity;Amount;Price;Date/Time;Trade P/L;P/L;Position;
115;DATA(SellClose);Sell to Close;-1;-50.0;$5,694.00;9/16/24, 7:50 PM;$37.50;$4,362.50;-50.0;
116;DATA(1,726,541,100,000|77.7778|16.6667|0|0|113|1.75|0.5|0.5|1,365|1,888.9092|103.8696|-4.7009|13.4559|54.1525|-30.7692|-0.75|in|in|in|dn|in|in);Buy to Open;1;50.0;$5,693.25;9/16/24, 7:50 PM;;$4,425.00;0.0;
117;DATA(SellClose);Sell to Close;-1;-50.0;$5,694.75;9/16/24, 7:55 PM;$37.50;$4,437.50;-50.0;
118;DATA(1,726,541,400,000|88.8889|12.963|0|0|149|2|2.25|1.25|1,370|2,506.0156|121.8185|-4.6733|13.9759|57.1405|-15.3846|0.75|in|in|in|dn|in|in);Buy to Open;1;50.0;$5,694.00;9/16/24, 7:55 PM;;$4,462.50;0.0;
119;DATA(SellClose);Sell to Close;-1;-50.0;$5,695.50;9/16/24, 8:00 PM;$62.50;$4,525.00;-50.0;
120;DATA(1,726,541,700,000|78.9474|-2.924|0|0|252|1.25|2|0|1,375|3,784.3688|121.8185|-1.6964|15.2039|57.1405|-26.6667|-1.75|in|dn|in|dn|in|in);Buy to Open;1;50.0;$5,694.25;9/16/24, 8:00 PM;;$4,525.00;0.0;
121;DATA(SellClose);Sell to Close;-1;-50.0;$5,695.00;9/16/24, 8:05 PM;$37.50;$4,512.50;-50.0;
122;DATA(1,726,542,000,000|66.6667|-11.501|0|0|171|0.25|2|0|1,380|2,990.9757|106.4288|-5.8072|16.3295|55.0073|-33.3333|0.25|in|dn|in|in|in|in);Buy to Open;1;50.0;$5,694.25;9/16/24, 8:05 PM;;$4,562.50;0.0;
123;DATA(SellClose);Sell to Close;-1;-50.0;$5,695.25;9/16/24, 8:10 PM;$50.00;$4,687.50;-50.0;
124;DATA(1,726,542,300,000|93.3333|13.6842|0|0|168|0.75|2.75|2.5|1,385|2,953.7467|140.0685|-4.1931|17.6147|61.3101|-6.6667|2.5|in|dn|in|dn|in|in);Buy to Open;1;50.0;$5,694.25;9/16/24, 8:10 PM;;$4,612.50;0.0;
125;DATA(SellClose);Sell to Close;-1;-50.0;$5,695.25;9/16/24, 8:15 PM;$125.00;$4,800.00;-50.0;
126;DATA(1,726,542,600,000|26.6667|-35.5556|0|0|222|-2|-0.5|-0.5|1,390|3,527.4028|13.9843|10.3236|16.3972|44.3617|-73.3333|0.5|in|in|in|in|up|in);Buy to Open;1;50.0;$5,692.75;9/16/24, 8:15 PM;;$4,737.50;0.0;
127;DATA(SellClose);Sell to Close;-1;-50.0;$5,693.50;9/16/24, 8:20 PM;$100.00;$4,825.00;-50.0;
128;DATA(1,726,542,900,000|0|-40|0|0|236|-2.75|-2.5|-2|1,395|3,363.1205|-29.849|5.364|16.2012|38.5491|-100|-2.5|up|in|up|in|up|in);Buy to Open;1;50.0;$5,691.50;9/16/24, 8:20 PM;;$4,837.50;0.0;
129;DATA(SellClose);Sell to Close;-1;-50.0;$5,692.00;9/16/24, 8:25 PM;$25.00;$4,850.00;-50.0;
