FT,ToD,DoW,DIR,MOVE
125,5,0,up,nm
130,5,0,dn,nm
135,5,0,dn,nm
140,5,0,dn,nm
145,5,0,dn,nm
150,5,0,up,nm
155,5,0,dn,mv
160,5,0,dn,nm
165,5,0,up,nm
170,5,0,up,nm
175,5,0,dn,mv
180,5,0,dn,mv
185,5,0,up,mv
190,5,0,up,mv
195,5,0,dn,mv
200,5,0,dn,nm
205,5,0,up,nm
210,5,0,up,nm
215,5,0,dn,nm
220,5,0,up,nm
225,5,0,dn,mv
230,5,0,dn,mv
235,5,0,up,mv
240,5,0,up,mv
245,5,0,up,mv
250,5,0,up,mv
255,5,0,up,nm
260,5,0,up,mv
265,5,0,up,mv
270,5,0,dn,nm
275,5,0,dn,mv
280,5,0,up,mv
285,5,0,dn,mv
290,5,0,dn,mv
295,5,0,dn,mv
300,5,0,dn,nm
305,5,0,dn,nm
310,5,0,up,mv
315,5,0,dn,nm
320,5,0,dn,mv
325,5,0,up,mv
330,5,0,dn,mv
335,5,0,dn,nm
340,5,0,dn,nm
345,5,0,dn,mv
350,5,0,up,nm
355,5,0,dn,mv
360,5,0,up,mv
365,5,0,dn,mv
370,5,0,dn,mv
375,5,0,dn,nm
380,5,0,dn,mv
385,5,0,up,mv
390,5,0,up,nm
395,5,0,up,mv
400,5,0,up,nm
405,5,0,dn,nm
410,5,0,dn,mv
415,5,0,up,mv
420,5,0,dn,mv
425,5,0,up,mv
430,5,0,up,nm
435,5,0,dn,nm
440,5,0,dn,mv
445,5,0,up,nm
450,5,0,up,nm
455,5,0,up,nm
460,5,0,dn,mv
465,5,0,up,mv
470,5,0,up,mv
475,5,0,up,nm
480,5,0,dn,nm
485,5,0,up,nm
490,5,0,dn,mv
495,5,0,dn,mv
500,5,0,up,mv
505,5,0,up,mv
510,5,0,up,mv
515,5,0,up,nm
520,5,0,up,nm
525,5,1,dn,mv
530,5,1,up,mv
535,5,1,dn,nm
540,5,1,dn,nm
545,5,1,up,nm
550,5,1,up,mv
555,5,1,dn,mv
560,5,1,dn,nm
565,5,1,dn,mv
570,5,1,dn,nm
575,5,1,up,mv
580,5,1,up,mv
585,5,1,dn,mv
590,5,1,dn,nm
595,5,1,dn,mv
600,5,1,dn,mv
605,5,1,up,mv
610,5,1,dn,mv
615,5,1,dn,mv
620,5,1,dn,nm
625,5,1,up,mv
630,5,1,dn,nm
635,5,1,up,nm
640,5,1,dn,nm
645,5,1,dn,nm
650,5,1,up,nm
655,5,1,up,nm
660,5,1,dn,nm
665,5,1,up,nm
670,5,1,up,nm
675,5,1,dn,nm
680,5,1,up,nm
685,5,1,dn,nm
690,5,1,dn,nm
695,5,1,dn,nm
700,5,1,up,nm
705,5,1,up,mv
710,5,1,dn,nm
715,5,1,dn,mv
720,5,1,dn,mv
725,5,1,dn,nm
730,5,1,dn,nm
735,5,1,dn,nm
740,5,1,up,nm
745,5,1,dn,mv
750,5,1,up,nm
755,5,1,up,nm
760,5,1,up,nm
765,5,1,dn,mv
770,5,1,up,mv
775,5,1,up,mv
780,5,1,up,mv
785,5,1,up,mv
790,5,1,up,mv
795,5,1,up,mv
800,5,1,up,nm
805,5,1,up,nm
810,5,1,dn,nm
815,5,1,dn,nm
820,5,1,up,nm
825,5,1,up,nm
830,5,1,dn,nm
835,5,1,up,nm
840,5,1,dn,mv
845,5,1,up,mv
850,5,1,up,nm
855,5,1,up,mv
860,5,1,dn,nm
865,5,1,dn,mv
870,5,1,dn,mv
875,5,1,up,nm
880,5,1,up,nm
885,5,1,dn,nm
890,5,1,dn,mv
895,5,1,up,mv
900,5,1,dn,mv
905,5,1,up,mv
910,5,1,up,nm
915,5,1,dn,mv
920,5,1,up,nm
925,5,1,dn,mv
930,5,1,up,mv
935,5,1,up,mv
940,5,1,up,mv
945,5,0,up,mv
950,5,0,up,mv
955,5,0,up,nm
960,5,0,up,mv
965,5,0,dn,nm
970,5,0,up,nm
975,5,0,up,nm
980,5,0,up,nm
985,5,0,up,nm
990,5,0,dn,nm
995,5,0,up,nm
1000,5,0,up,nm
1005,5,0,dn,mv
1010,5,0,dn,mv
1015,5,0,dn,nm
1080,1,0,dn,mv
1085,1,0,dn,mv
1090,1,0,up,nm
1095,1,0,up,nm
1100,1,0,dn,nm
1105,1,0,dn,nm
1110,1,0,dn,nm
1115,1,0,dn,nm
1120,1,0,dn,nm
1125,1,0,up,nm
1130,1,0,dn,nm
1135,1,0,up,nm
1140,1,0,up,nm
1145,1,0,dn,nm
1150,1,0,up,nm
1155,1,0,dn,nm
1160,1,0,up,nm
1165,1,0,up,nm
1170,1,0,dn,nm
1175,1,0,up,nm
1180,1,0,dn,nm
1185,1,0,dn,nm
1190,1,0,up,nm
1195,1,0,up,mv
1200,1,0,up,nm
1205,1,0,up,nm
1210,1,0,up,nm
1215,1,0,dn,nm
1220,1,0,up,nm
1225,1,0,up,nm
1230,1,0,dn,nm
1235,1,0,dn,nm
1240,1,0,dn,nm
1245,1,0,dn,nm
1250,1,0,up,nm
1255,1,0,dn,nm
1260,1,0,up,nm
1265,1,0,dn,mv
1270,1,0,dn,nm
1275,1,0,up,mv
1280,1,0,dn,nm
1285,1,0,up,nm
1290,1,0,dn,mv
1295,1,0,up,nm
1300,1,0,up,nm
1305,1,0,dn,nm
1310,1,0,dn,mv
1315,1,0,dn,mv
1320,1,0,up,nm
1325,1,0,up,nm
1330,1,0,up,nm
1335,1,0,dn,nm
1340,1,0,dn,nm
1345,1,0,dn,nm
1350,1,0,dn,nm
