fullK,fullD,diffKD,overBought,overSold,Volume,15mSD,30mSD
65.9864,66.9619,-0.9755,0,0,2286,1.0363,0.9989
96.124,76.1845,19.9396,0,0,2254,0.0452,-0.0886
97.0149,86.3751,10.6398,1,0,1100,-0.1174,-0.4417
94.0299,95.7229,-1.6931,1,0,1027,-0.0472,-0.1106
94.0299,95.0249,-0.995,1,0,537,-0.1434,-0.1327
92.1053,93.3883,-1.2831,1,0,492,-0.3606,0.1108
91.1504,92.4285,-1.2781,1,0,574,-0.0732,0.1332
81.3333,88.1963,-6.863,1,0,498,0,0.2222
68,80.1613,-12.1613,0,0,1066,0.5611,0.4667
81.9444,77.0926,4.8519,0,0,830,0.3043,0.4662
80.5556,76.8333,3.7222,0,0,433,0.3435,0.6651
89.4737,83.9912,5.4825,1,0,1057,0.0344,0.3103
88.0597,86.0296,2.0301,1,0,392,0.4897,0.4873
88.0597,88.531,-0.4713,1,0,487,0.8441,0.4744
89.5522,88.5572,0.995,1,0,427,0.5489,0.5963
97.2603,91.6241,5.6362,1,0,1062,0.5216,0.2806
91.8605,92.891,-1.0305,1,0,2077,0.0525,-0.0472
84.8837,91.3348,-6.4511,1,0,573,0.7275,0.0945
92.6471,89.7971,2.85,1,0,674,0.1187,-0.0944
88.4615,88.6641,-0.2026,1,0,450,-0.1772,0.1896
98.1132,93.0739,5.0393,1,0,506,-0.556,0.1189
92.4528,93.0092,-0.5564,1,0,400,-0.3672,0.4312
81.1321,90.566,-9.434,1,0,538,0.6862,0.4098
81.1321,84.9057,-3.7736,1,0,392,0.8787,0.6024
81.1321,81.1321,0,1,0,975,1.4799,0.4824
88.5246,83.5962,4.9283,1,0,2540,0.3743,0.0243
92.9825,87.5464,5.4361,1,0,815,0.6967,-0.4617
92.9825,91.4965,1.486,1,0,1673,-0.2559,-0.3691
80.3571,88.774,-8.4169,1,0,1735,-0.344,-0.3287
94.2308,89.1901,5.0406,1,0,862,-2.1981,-0.7722
84.3137,86.3005,-1.9868,1,0,794,-0.9643,-1.0555
68.6275,82.3906,-13.7632,0,0,1041,-0.6918,-0.6323
26.6667,59.8693,-33.2026,0,0,1852,0,-0.5033
52.5,49.2647,3.2353,0,0,666,-2.2671,-0.6863
40,39.7222,0.2778,0,0,600,-1.2205,-0.5912
17.5,36.6667,-19.1667,0,0,750,-1.4299,-0.0621
9.434,22.3113,-12.8774,0,0,1324,0.2262,-0.0761
24.5283,17.1541,7.3742,0,0,1113,-0.3756,0
1.8868,11.9497,-10.0629,0,1,1011,1.2906,0.457
28.5714,18.3288,10.2426,0,0,1448,-0.3807,0.0916
28.5714,19.6765,8.8949,0,0,659,0.3832,-0.1836
44.4444,33.8624,10.582,0,0,936,-0.5336,-0.5942
20.6349,31.2169,-10.582,0,0,962,0.5389,0.2763
36.5079,33.8624,2.6455,0,0,1033,-0.7175,-0.4657
33.3333,30.1587,3.1746,0,0,1337,-0.4879,-0.0479
31.746,33.8624,-2.1164,0,0,1316,-0.0826,-0.2924
22.2222,29.1005,-6.8783,0,0,907,-0.0827,0.2442
24.5902,26.1861,-1.596,0,0,899,0.422,1.0262
33.3333,26.7152,6.6181,0,0,788,-0.4226,0.8231
26,27.9745,-1.9745,0,0,545,0.5031,0.9323
43.4783,34.2705,9.2077,0,0,583,1.3012,1.1872
31.8182,33.7655,-1.9473,0,0,816,1.6284,1.6377
48.7179,41.3381,7.3798,0,0,435,0.9281,1.3739
87.8049,56.1137,31.6912,0,0,2064,0.5495,0.407
85.3659,73.9629,11.403,0,0,618,0.9094,0.5604
75.6098,82.9268,-7.3171,0,0,487,1.2121,0.726
97.7273,86.2343,11.493,1,0,640,0.082,0.2142
95.3488,89.562,5.7869,1,0,791,0,-0.2192
89.1304,94.0688,-4.9384,1,0,661,-0.0822,-0.057
84.7826,89.754,-4.9714,1,0,698,0.275,0.2394
89.1304,87.6812,1.4493,1,0,399,-0.3724,0.4421
86.9565,86.9565,0,1,0,612,0,0.5689
91.3043,89.1304,2.1739,1,0,593,0.0941,-0.0644
80.4348,86.2319,-5.7971,1,0,630,1.1922,0.3874
86.0465,85.9285,0.118,1,0,399,1.0381,0.1944
93.0233,86.5015,6.5217,1,0,526,-0.2589,0.0648
97.8261,92.2986,5.5275,1,0,532,-0.635,0.1295
100,96.9498,3.0502,1,0,781,-0.7585,-0.3232
80.8511,92.8924,-12.0413,1,0,500,0.4012,0.3267
84.4444,88.4318,-3.9874,1,0,370,0.9491,0.1321
80.5556,81.9504,-1.3948,1,0,376,0.1356,0.4072
77.7778,80.9259,-3.1481,0,0,454,0.28,0.409
90,82.7778,7.2222,1,0,643,-0.6887,-0.3451
67.8571,78.545,-10.6878,0,0,476,0.7223,0.07
65,74.2857,-9.2857,0,0,300,0.5968,-0.4296
60,64.2857,-4.2857,0,0,300,0,-0.4307
80,68.3333,11.6667,0,0,738,-0.5906,-0.5724
85,75,10,0,0,295,-1.3903,-0.7122
60,75,-15,0,0,321,-0.8298,-0.0713
50,65,-15,0,0,468,-0.5466,-0.7815
18.75,42.9167,-24.1667,0,0,367,0,0.0711
22.2222,30.3241,-8.1019,0,0,428,0.8361,0.2881
33.3333,24.7685,8.5648,0,0,374,-1.1951,0.2915
27.7778,27.7778,0,0,0,253,0.1739,0.225
50,37.037,12.963,0,0,379,-0.1838,0.0765
13.6364,30.4714,-16.835,0,0,589,2.1494,1.1346
45.4545,36.3636,9.0909,0,0,392,0.3901,0.5371
54.5455,37.8788,16.6667,0,0,644,0.3894,0.6189
63.6364,54.5455,9.0909,0,0,405,0.7738,0.6229
